Water Control Zone	Station	Dates	Sample No	Depth	5-day Biochemical Oxygen Demand (mg/L)
Tolo Harbour And Channel	TM3	19-08-1987	1	Surface Water	5.9
Tolo Harbour And Channel	TM3	19-08-1987	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	19-08-1987	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	02-09-1987	1	Surface Water	2.3
Tolo Harbour And Channel	TM3	02-09-1987	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	02-09-1987	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	16-09-1987	1	Surface Water	3.5
Tolo Harbour And Channel	TM3	16-09-1987	1	Middle Water	4.2
Tolo Harbour And Channel	TM3	16-09-1987	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	30-09-1987	1	Surface Water	10.2
Tolo Harbour And Channel	TM3	30-09-1987	1	Middle Water	7.4
Tolo Harbour And Channel	TM3	30-09-1987	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	14-10-1987	1	Surface Water	3.8
Tolo Harbour And Channel	TM3	14-10-1987	1	Middle Water	3.9
Tolo Harbour And Channel	TM3	14-10-1987	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	28-10-1987	1	Surface Water	1.1
Tolo Harbour And Channel	TM3	28-10-1987	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	28-10-1987	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	11-11-1987	1	Surface Water	3.8
Tolo Harbour And Channel	TM3	11-11-1987	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	11-11-1987	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	25-11-1987	1	Surface Water	1.1
Tolo Harbour And Channel	TM3	25-11-1987	1	Middle Water	1
Tolo Harbour And Channel	TM3	25-11-1987	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	09-12-1987	1	Surface Water	1.9
Tolo Harbour And Channel	TM3	09-12-1987	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	09-12-1987	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	23-12-1987	1	Surface Water	5.8
Tolo Harbour And Channel	TM3	23-12-1987	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	23-12-1987	1	Bottom Water	2.3
Tolo Harbour And Channel	TM3	06-01-1988	1	Surface Water	9.1
Tolo Harbour And Channel	TM3	06-01-1988	1	Middle Water	5.4
Tolo Harbour And Channel	TM3	06-01-1988	1	Bottom Water	3
Tolo Harbour And Channel	TM3	20-01-1988	1	Surface Water	>8.8
Tolo Harbour And Channel	TM3	20-01-1988	1	Middle Water	2
Tolo Harbour And Channel	TM3	20-01-1988	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	03-02-1988	1	Surface Water	6.1
Tolo Harbour And Channel	TM3	03-02-1988	1	Middle Water	7.5
Tolo Harbour And Channel	TM3	03-02-1988	1	Bottom Water	3.6
Tolo Harbour And Channel	TM3	15-02-1988	1	Surface Water	7.1
Tolo Harbour And Channel	TM3	15-02-1988	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	15-02-1988	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	02-03-1988	1	Surface Water	5.3
Tolo Harbour And Channel	TM3	02-03-1988	1	Middle Water	6.5
Tolo Harbour And Channel	TM3	02-03-1988	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	16-03-1988	1	Surface Water	5.6
Tolo Harbour And Channel	TM3	16-03-1988	1	Middle Water	5.3
Tolo Harbour And Channel	TM3	16-03-1988	1	Bottom Water	3.2
Tolo Harbour And Channel	TM3	30-03-1988	1	Surface Water	8.8
Tolo Harbour And Channel	TM3	30-03-1988	1	Middle Water	1.2
Tolo Harbour And Channel	TM3	30-03-1988	1	Bottom Water	0.3
Tolo Harbour And Channel	TM3	13-04-1988	1	Surface Water	4.8
Tolo Harbour And Channel	TM3	13-04-1988	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	13-04-1988	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	27-04-1988	1	Surface Water	2.2
Tolo Harbour And Channel	TM3	27-04-1988	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	27-04-1988	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	11-05-1988	1	Surface Water	5.6
Tolo Harbour And Channel	TM3	11-05-1988	1	Middle Water	2.9
Tolo Harbour And Channel	TM3	11-05-1988	1	Bottom Water	1.9
Tolo Harbour And Channel	TM3	19-05-1988	1	Surface Water	11.9
Tolo Harbour And Channel	TM3	19-05-1988	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	19-05-1988	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	25-05-1988	1	Surface Water	1.7
Tolo Harbour And Channel	TM3	25-05-1988	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	25-05-1988	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	08-06-1988	1	Surface Water	3.3
Tolo Harbour And Channel	TM3	08-06-1988	1	Middle Water	4.5
Tolo Harbour And Channel	TM3	08-06-1988	1	Bottom Water	4.8
Tolo Harbour And Channel	TM3	22-06-1988	1	Surface Water	5.3
Tolo Harbour And Channel	TM3	22-06-1988	1	Middle Water	2.1
Tolo Harbour And Channel	TM3	22-06-1988	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	06-07-1988	1	Surface Water	6
Tolo Harbour And Channel	TM3	06-07-1988	1	Middle Water	2.6
Tolo Harbour And Channel	TM3	06-07-1988	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	20-07-1988	1	Surface Water	1.1
Tolo Harbour And Channel	TM3	20-07-1988	1	Middle Water	1.2
Tolo Harbour And Channel	TM3	20-07-1988	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	03-08-1988	1	Surface Water	2.8
Tolo Harbour And Channel	TM3	03-08-1988	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	03-08-1988	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	17-08-1988	1	Surface Water	1.1
Tolo Harbour And Channel	TM3	17-08-1988	1	Middle Water	0.6
Tolo Harbour And Channel	TM3	17-08-1988	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	02-09-1988	1	Surface Water	2.1
Tolo Harbour And Channel	TM3	02-09-1988	1	Middle Water	0.4
Tolo Harbour And Channel	TM3	02-09-1988	1	Bottom Water	0.4
Tolo Harbour And Channel	TM3	14-09-1988	1	Surface Water	1.7
Tolo Harbour And Channel	TM3	14-09-1988	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	14-09-1988	1	Bottom Water	3.5
Tolo Harbour And Channel	TM3	28-09-1988	1	Surface Water	6
Tolo Harbour And Channel	TM3	28-09-1988	1	Middle Water	3.8
Tolo Harbour And Channel	TM3	28-09-1988	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	12-10-1988	1	Surface Water	3.5
Tolo Harbour And Channel	TM3	12-10-1988	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	12-10-1988	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	31-10-1988	1	Surface Water	0.1
Tolo Harbour And Channel	TM3	31-10-1988	1	Middle Water	0.5
Tolo Harbour And Channel	TM3	31-10-1988	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	09-11-1988	1	Surface Water	9.3
Tolo Harbour And Channel	TM3	09-11-1988	1	Middle Water	7.8
Tolo Harbour And Channel	TM3	09-11-1988	1	Bottom Water	2.8
Tolo Harbour And Channel	TM3	23-11-1988	1	Surface Water	4.4
Tolo Harbour And Channel	TM3	23-11-1988	1	Middle Water	1.7
Tolo Harbour And Channel	TM3	23-11-1988	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	07-12-1988	1	Surface Water	3.9
Tolo Harbour And Channel	TM3	07-12-1988	1	Middle Water	3.7
Tolo Harbour And Channel	TM3	07-12-1988	1	Bottom Water	3.6
Tolo Harbour And Channel	TM3	20-12-1988	1	Surface Water	7.5
Tolo Harbour And Channel	TM3	20-12-1988	1	Middle Water	3
Tolo Harbour And Channel	TM3	20-12-1988	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	04-01-1989	1	Surface Water	4.4
Tolo Harbour And Channel	TM3	04-01-1989	1	Middle Water	5.3
Tolo Harbour And Channel	TM3	04-01-1989	1	Bottom Water	3.5
Tolo Harbour And Channel	TM3	18-01-1989	1	Surface Water	5.2
Tolo Harbour And Channel	TM3	18-01-1989	1	Middle Water	3
Tolo Harbour And Channel	TM3	18-01-1989	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	01-02-1989	1	Surface Water	3.6
Tolo Harbour And Channel	TM3	01-02-1989	1	Middle Water	1.1
Tolo Harbour And Channel	TM3	01-02-1989	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	15-02-1989	1	Surface Water	5.5
Tolo Harbour And Channel	TM3	15-02-1989	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	15-02-1989	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	01-03-1989	1	Surface Water	4.7
Tolo Harbour And Channel	TM3	01-03-1989	1	Middle Water	3.3
Tolo Harbour And Channel	TM3	01-03-1989	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	15-03-1989	1	Surface Water	4.8
Tolo Harbour And Channel	TM3	15-03-1989	1	Middle Water	4.9
Tolo Harbour And Channel	TM3	15-03-1989	1	Bottom Water	2.8
Tolo Harbour And Channel	TM3	29-03-1989	1	Surface Water	7.7
Tolo Harbour And Channel	TM3	29-03-1989	1	Middle Water	6.7
Tolo Harbour And Channel	TM3	29-03-1989	1	Bottom Water	2.6
Tolo Harbour And Channel	TM3	12-04-1989	1	Surface Water	2.1
Tolo Harbour And Channel	TM3	12-04-1989	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	12-04-1989	1	Bottom Water	2
Tolo Harbour And Channel	TM3	26-04-1989	1	Surface Water	5.6
Tolo Harbour And Channel	TM3	26-04-1989	1	Middle Water	4.3
Tolo Harbour And Channel	TM3	26-04-1989	1	Bottom Water	1
Tolo Harbour And Channel	TM3	11-05-1989	1	Surface Water	4
Tolo Harbour And Channel	TM3	11-05-1989	1	Middle Water	3.9
Tolo Harbour And Channel	TM3	11-05-1989	1	Bottom Water	2.1
Tolo Harbour And Channel	TM3	24-05-1989	1	Surface Water	5.7
Tolo Harbour And Channel	TM3	24-05-1989	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	24-05-1989	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	09-06-1989	1	Surface Water	3.1
Tolo Harbour And Channel	TM3	09-06-1989	1	Middle Water	3.4
Tolo Harbour And Channel	TM3	09-06-1989	1	Bottom Water	2.6
Tolo Harbour And Channel	TM3	21-06-1989	1	Surface Water	2.3
Tolo Harbour And Channel	TM3	21-06-1989	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	21-06-1989	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	05-07-1989	1	Surface Water	3.5
Tolo Harbour And Channel	TM3	05-07-1989	1	Middle Water	2.6
Tolo Harbour And Channel	TM3	05-07-1989	1	Bottom Water	1.8
Tolo Harbour And Channel	TM3	20-07-1989	1	Surface Water	2.6
Tolo Harbour And Channel	TM3	20-07-1989	1	Middle Water	2.1
Tolo Harbour And Channel	TM3	20-07-1989	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	02-08-1989	1	Surface Water	3.1
